Character,NFD Code Points,NFC Code Points
"a","U+0061","U+0061"
"ā","U+0061 U+0304","U+0101"
"c","U+0063","U+0063"
"e","U+0065","U+0065"
"ē","U+0065 U+0304","U+0113"
"h","U+0068","U+0068"
"i","U+0069","U+0069"
"k","U+006B","U+006B"
"l","U+006C","U+006C"
"m","U+006D","U+006D"
"n","U+006E","U+006E"
"o","U+006F","U+006F"
"ō","U+006F U+0304","U+014D"
"p","U+0070","U+0070"
"s","U+0073","U+0073"
"t","U+0074","U+0074"
"w","U+0077","U+0077"
"y","U+0079","U+0079"
"’a","U+2019 U+0061","U+2019 U+0061"
"a’","U+0061 U+2019","U+0061 U+2019"
"’a’","U+2019 U+0061 U+2019","U+2019 U+0061 U+2019"
"b","U+0062","U+0062"
"ch","U+0063 U+0068","U+0063 U+0068"
"ch’","U+0063 U+0068 U+2019","U+0063 U+0068 U+2019"
"d","U+0064","U+0064"
"dl","U+0064 U+006C","U+0064 U+006C"
"dz","U+0064 U+007A","U+0064 U+007A"
"d̲z̲","U+0064 U+0332 U+007A U+0332","U+0064 U+0332 U+007A U+0332"
"’e","U+2019 U+0065","U+2019 U+0065"
"e’","U+0065 U+2019","U+0065 U+2019"
"’e’","U+2019 U+0065 U+2019","U+2019 U+0065 U+2019"
"g","U+0067","U+0067"
"gh","U+0067 U+0068","U+0067 U+0068"
"gw","U+0067 U+0077","U+0067 U+0077"
"’i","U+2019 U+0069","U+2019 U+0069"
"i’","U+0069 U+2019","U+0069 U+2019"
"’i’","U+2019 U+0069 U+2019","U+2019 U+0069 U+2019"
"j","U+006A","U+006A"
"k’","U+006B U+2019","U+006B U+2019"
"kh","U+006B U+0068","U+006B U+0068"
"kw","U+006B U+0077","U+006B U+0077"
"kw’","U+006B U+0077 U+2019","U+006B U+0077 U+2019"
"lh","U+006C U+0068","U+006C U+0068"
"’o","U+2019 U+006F","U+2019 U+006F"
"o’","U+006F U+2019","U+006F U+2019"
"’o’","U+2019 U+006F U+2019","U+2019 U+006F U+2019"
"oo","U+006F U+006F","U+006F U+006F"
"’oo","U+2019 U+006F U+006F","U+2019 U+006F U+006F"
"oo’","U+006F U+006F U+2019","U+006F U+006F U+2019"
"’oo’","U+2019 U+006F U+006F U+2019","U+2019 U+006F U+006F U+2019"
"s̲","U+0073 U+0332","U+0073 U+0332"
"sh","U+0073 U+0068","U+0073 U+0068"
"t’","U+0074 U+2019","U+0074 U+2019"
"tl","U+0074 U+006C","U+0074 U+006C"
"tl’","U+0074 U+006C U+2019","U+0074 U+006C U+2019"
"ts","U+0074 U+0073","U+0074 U+0073"
"ts’","U+0074 U+0073 U+2019","U+0074 U+0073 U+2019"
"t̲s̲","U+0074 U+0332 U+0073 U+0332","U+0074 U+0332 U+0073 U+0332"
"u","U+0075","U+0075"
"’u","U+2019 U+0075","U+2019 U+0075"
"u’","U+0075 U+2019","U+0075 U+2019"
"’u’","U+2019 U+0075 U+2019","U+2019 U+0075 U+2019"
"ai","U+0061 U+0069","U+0061 U+0069"
"’ai","U+2019 U+0061 U+0069","U+2019 U+0061 U+0069"
"ai’","U+0061 U+0069 U+2019","U+0061 U+0069 U+2019"
"’ai’","U+2019 U+0061 U+0069 U+2019","U+2019 U+0061 U+0069 U+2019"
"wh","U+0077 U+0068","U+0077 U+0068"
"z","U+007A","U+007A"
"á","U+0061 U+0301","U+00E1"
"ą","U+0061 U+0328","U+0105"
"ą́","U+0061 U+0328 U+0301","U+0105 U+0301"
"ā́","U+0061 U+0304 U+0301","U+0101 U+0301"
"â","U+0061 U+0302","U+00E2"
"ǎ","U+0061 U+030C","U+01CE"
"ą̄","U+0061 U+0328 U+0304","U+0105 U+0304"
"ą̄́","U+0061 U+0328 U+0304 U+0301","U+0105 U+0304 U+0301"
"ą̂","U+0061 U+0328 U+0302","U+0105 U+0302"
"ą̌","U+0061 U+0328 U+030C","U+0105 U+030C"
"chʼ","U+0063 U+0068 U+02BC","U+0063 U+0068 U+02BC"
"é","U+0065 U+0301","U+00E9"
"ę","U+0065 U+0328","U+0119"
"ę́","U+0065 U+0328 U+0301","U+0119 U+0301"
"ḗ","U+0065 U+0304 U+0301","U+1E17"
"ê","U+0065 U+0302","U+00EA"
"ě","U+0065 U+030C","U+011B"
